"CODI","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"01-163","Plaça Comerç","C COMERÇ","31","431815.286651427","4581793.281660636","41.384777722","2.184499694"
"01-164","","PL HILARI SALVADO","42","432399.483023952","4581197.076320508","41.379457157","2.191552620"
"01-165","","C GINEBRA","43","432334.615403386","4581523.487313357","41.382391604","2.190740483"
"01-166","","C SOTS-TINENT NAVARRO","16","431397.474375336","4581578.704496633","41.382809566","2.179527376"
"01-167","","JARD VOLTES D'EN CIRES","23-39","430867.338678933","4580936.847528490","41.376983172","2.173260909"
"01-168","Plaça del Poeta Boscà","PL POETA BOSCA","54","432221.412694570","4581189.897658375","41.379377521","2.189424051"
"01-169","Pl. de la Mercè","Pl. de la Mercè","","431388.171220953","4581165.393933143","41.379086202","2.179462919"
"01-170","","Pg. Circumval·lació","1","431959.987417125","4581864.640674001","41.385432684","2.186222158"
"01-171","Al costat del C/ Arenes","Plaça George Orwell","5","431211.032262138","4581338.515540815","41.380630335","2.177325052"
"01-172","","Jonqueres","2","430971.007757878","4582110.618540930","41.387563877","2.174366823"
"01-173","Jardins del Pou de la Figuera","Metge","18","431352.978702735","4582157.215719070","41.388016252","2.178929721"
"02-002","Viladomat","C VILADOMAT","284","428600.444956255","4582223.406720940","41.388372799","2.146002976"
"02-003","Sarrià, Av","C COMTE D'URGELL","238","428801.486358947","4582367.175411427","41.389685490","2.148390442"
"02-004","Urgell","C ROSSELLO","143","428998.325593367","4582226.443698918","41.388435370","2.150761094"
"02-005","Urgell","C PROVENÇA","125","429077.934961491","4582127.122941488","41.387547847","2.151724816"
"02-006","Provença","C CALABRIA","208","428807.812165327","4581813.904516610","41.384702941","2.148531116"
"02-007","Entença","C PROVENÇA","56","428623.290659212","4581653.085673494","41.383238154","2.146343391"
"02-008","València","C COMTE BORRELL","184.B","429149.972904760","4581841.801956973","41.384984410","2.152619715"
"02-009","Londres","C LONDRES","99","428965.859663105","4582768.574773824","41.393315280","2.150309236"
"02-010","Calabria","C ARAGO","99","429046.660335189","4581524.502256502","41.382117498","2.151421362"
"02-011","Rocafort","C CONSELL DE CENT","101","429085.358966240","4581336.421673702","41.380426934","2.151906146"
"02-012","Entença","C CONSELL DE CENT","80","428958.878070445","4581244.122493796","41.379584470","2.150404494"
"02-013","Vilamarí","C ARAGO","39","428780.327726748","4581235.083837640","41.379487278","2.148270462"
"02-014","Diputació","C CALABRIA","119-121","429232.599289117","4581349.080573488","41.380553912","2.153665384"
"02-015","Viladomat","C CONSELL DE CENT","149","429266.070830083","4581545.160619625","41.382322881","2.154042753"
"02-016","Vilamarí","C DIPUTACIO","24","428988.646817528","4581073.102004742","41.378046776","2.150780506"
"02-017","Sepúlveda","C VILAMARI","23","429151.815512710","4580868.200449191","41.376215680","2.152755574"
"02-018","Entença","C FLORIDABLANCA","57","429384.245757011","4580853.288659171","41.376101804","2.155536559"
"02-019","Rocafort","C TAMARIT","109","429532.745941523","4580847.517521335","41.376062843","2.157312895"
