"CODI","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"07-024","Montserrat de Casanovas","PG FONT D'EN FARGUES","50","430261.417316566","4586145.740113434","41.423845581","2.165415558"
"07-026","Pça de Salvador Allende","PL SALVADOR ALLENDE","45","429122.802702623","4585768.788176454","41.420350884","2.151834986"
"07-027","","PL SALVADOR ALLENDE","12","429085.762941894","4585807.988521183","41.420700678","2.151387193"
"07-028","","C LLOBREGOS","243-247","429065.743613323","4585900.808822141","41.421534905","2.151136765"
"07-029","Sigüenza","C SIGÜENZA","87","429177.795213773","4586089.348270787","41.423242887","2.152455454"
"07-031","La Murtra","PG MARE DE DEU DEL COLL","236","429080.785772599","4586183.029158969","41.424078074","2.151283656"
"07-032","darrera bloc / Tenerife","C FRANCESC ALEGRE","21","430269.620961663","4585304.118701100","41.416266126","2.165610758"
"07-033","Mare de Déu dels Àngels","C MARE DE DEU DELS ANGELS","59","428865.773779633","4585963.720445043","41.422083844","2.148736599"
"07-035","Segur","C IRIARTE","13-15","428303.513310333","4586016.894810384","41.422512784","2.142002444"
"07-036","Castellbisbal","C SANTA ROSALIA","33","428591.542767031","4585886.092408558","41.421360354","2.145464392"
"07-037","Fastenrath","PL TAXONERA","16","428722.763891703","4586007.811604206","41.422468279","2.147020184"
"07-039","Santa Gema / Josep St. Genis","C COLL I ALENTORN","48-46","428781.245612426","4586223.171503155","41.424413121","2.147694601"
"07-040","Amor","C AMOR","1","429084.848596282","4586555.219722448","41.427430597","2.151288619"
"07-041","Dels Platans","C ALARCON","24","429247.069252097","4586608.678573161","41.427926383","2.153223614"
"07-042","Serrallonga","C DANTE ALIGHIERI","108","429446.628827323","4586511.776899727","41.427071183","2.155623017"
"07-047","Jardins de l'Amistat","JARD AMISTAT","SN","429365.553961717","4587206.478624408","41.433320945","2.154571645"
"07-048","Rectoria","C CAMPOAMOR","30","429531.174631575","4587261.117451251","41.433827604","2.156547393"
"07-049","Eduard Toda","C FELIU I CODINA","23-25","429890.764610562","4587184.954594041","41.433173108","2.160859773"
"07-051","Velòdrom d'Horta","PG CASTANYERS","185-201","428801.507191760","4587748.153776960","41.438149767","2.147757429"
"07-052","Pg Vall D'Hebron","C GERMANS DESVALLS","185-201","429041.857374957","4587723.241908832","41.437946672","2.150637031"
"07-053","Germans Desvalls (Velòdrom d'Horta)","C GERMANS DESVALLS","19-1","428957.007882597","4587807.582688237","41.438698790","2.149611580"
"07-055","Ventura Rodríguez","C JORGE MANRIQUE","20","428926.511873645","4587020.451669022","41.431606747","2.149339151"
"07-056","Berruguete","C VENTURA RODRIGUEZ","12-10","428955.783001485","4587163.401673829","41.432896826","2.149672650"
"07-057","","C ARQUITECTE MORAGAS","83","428763.792139522","4587088.833016135","41.432208212","2.147383746"
"07-058","","C JUAN DE MENA","25","428667.611114461","4586973.143563936","41.431157712","2.146246344"
"07-059","Pare Mariana","C PARE MARIANA","15","428702.790887331","4586935.953236997","41.430825878","2.146671741"
"07-060","Harmonia","C POESIA","2-4","428529.171631307","4587069.714771166","41.432015179","2.144578167"
"07-061","Pg Vall D'Hebron","C JERICO","16","428051.681533722","4585833.806435145","41.420841275","2.139010861"
"07-063","Jardins de Manuel J. Arnalot","C LLEDONER","11","427890.805585312","4586402.008566733","41.425944394","2.137018148"
"07-064","Natzaret","JARD LLEDONER","1","428020.905022331","4586300.977415266","41.425046120","2.138586999"
"07-065","Pça Madrona Prat","AV ELIES PAGES","3-7","427728.996557790","4586563.620055948","41.427385414","2.135062558"
"07-066","Judea / Sinai","C NATZARET","40-42","427892.555013228","4586326.088432393","41.425260773","2.137048137"
"07-067","Jardins de Manuel J. Arnalot","JARD MANUEL J. ARNALOT","87","427840.495545984","4586407.128957882","41.425985994","2.136415507"
"07-068","Costa Pacheco","AV ELIES PAGES","31","427554.027112640","4586672.771561603","41.428352730","2.132955679"
"07-069","","C PENYAL","37","430085.505749902","4585974.631178164","41.422289179","2.163330365"
"07-070","Escornalbou","C ESCORNALBOU","22","431377.403664818","4585435.180529784","41.417541918","2.178850230"
"07-071","Praga","AV MARE DE DEU DE MONTSERRAT","39-41","430056.359102475","4585102.710012952","41.414433580","2.163082428"
"07-072","Av Marques de Castellbell","AV MARQUES DE CASTELLBELL","32-30","429394.260515966","4586745.537671374","41.429171968","2.154969042"
"07-073","Natzaret / Dumea","AV JORDA","24-20","427942.826421604","4586501.798329752","41.426847823","2.137628758"
"07-074","Mare de Déu de Montserrat","C FRANCESC ALEGRE","31","430268.691559627","4585383.358835428","41.416979732","2.165590504"
"07-076","","BXDA PASSERELL","18-16","429711.023859031","4585801.273750762","41.420695143","2.158869536"
"07-077","Mas Casanovas","C MAS CASANOVAS","68","430749.339349817","4584994.434596321","41.413518395","2.171385910"
"07-078","Alt de Pedrell","AV FREDERIC RAHOLA","64","430562.928042943","4586180.037885917","41.424180604","2.169019532"
"07-079","Art","C VINYALS","22","431112.804929918","4585656.342886182","41.419511209","2.175659121"
"07-081","Santa Amàlia","PL BACARDI","16","430142.922160721","4586809.932077263","41.429817403","2.163920890"
"07-089","Parc del Guinardó","PARC GUINARDO","25.B","430616.843960592","4585629.546596094","41.419227192","2.169727858"
"07-090","Parc del Guinardó","C FLORENCIA","21.B","430658.643796490","4585599.316231315","41.418958526","2.170231470"
"07-091","","AV MARE DE DEU DE MONTSERRAT","156","430800.413862118","4585579.025126026","41.418787993","2.171930103"
"07-110","","PL NEN DE LA RUTLLA","156","430783.833924795","4585590.695270194","41.418891674","2.171730385"
"07-111","Horta - Plaça Santes Creus","C SANTES CREUS","13-19","430002.082208286","4586844.953204816","41.430120562","2.162231375"
"07-113","","PL CAN BARO","1-3","429976.020657526","4585323.930967665","41.416419038","2.162095622"
"07-116","","PL CATALANA","1","430888.216445674","4585902.494979882","41.421708926","2.172943715"
"07-118","","PL EIVISSA","1-1.B","429912.322101099","4586849.113894445","41.430150209","2.161156711"
"07-123","Jardins de Montbau","JARD MONTBAU","31","428339.162076418","4587167.366372458","41.432877752","2.142292642"
"07-124","centre plaça, davant nº 6","PLA MONTBAU","3-6","428378.700157830","4586905.935655694","41.430526689","2.142796799"
"07-126","Eduard Toda","C RECTORIA","38-36","429822.455461797","4587311.305315029","41.434305131","2.160027592"
"07-127","Plaça Masies d'Horta","PL MASIES D'HORTA","2.B","429748.422183274","4586893.425212278","41.430534984","2.159190130"
"07-131","","C ROIG I SOLER","23-29","428263.010906643","4587028.496731166","41.431620217","2.141397770"
"07-132","Peris i Mencheta","C MARI","77","429831.577665170","4586279.583598959","41.425013628","2.160256523"
"07-135","","C JOAN CORTADA","1","429784.499968856","4585272.062342401","41.415935165","2.159810149"
"07-136","costat cabina","CAMI CAL NOTARI","14","428960.789571458","4588029.733011858","41.440699933","2.149630723"
"07-137","davant del gos","CAMI CAL NOTARI","28","428962.450522401","4588154.903197631","41.441827432","2.149635886"
"07-138","Parc de la Unitat","PG VALLDAURA","24","429509.517586622","4587655.718243745","41.437379705","2.156242176"
"07-139","","C LEPANT","424","430447.117065471","4584755.706523410","41.411342159","2.167797498"
"07-140","Parc Castellbisbal","C MARE DE DEU DELS ANGELS","43","428766.263058095","4585888.761082696","41.421399900","2.147554710"
"07-143","","C LLETRES","26-24","429616.900205831","4586659.085839140","41.428412871","2.157643449"
"07-144","Manxa / al parc","C MANXA","2","429267.893631849","4585861.887221006","41.421202175","2.153560173"
"07-145","","RDA GUINARDO","42-40","430316.237314684","4584815.047603450","41.411865286","2.166224842"
"07-146","Galla","C GALLA","1-5","429925.092720442","4586928.313923647","41.430864646","2.161300359"
"07-149","Maspons i Labros","PL SALVADOR RIERA","1-3","430994.203630070","4585508.783547084","41.418172018","2.174256851"
"07-150","Berruguete","C ARQUITECTE MORAGAS","10","428804.283016637","4587196.372879117","41.433180367","2.147855657"
"07-152","Parc del Laberint (porta principal)","PG CASTANYERS","32","428782.417400316","4587779.583972072","41.438431152","2.147525245"
"07-153","","C CANÇO","9","428407.503013716","4587277.136026868","41.433872492","2.143097523"
"07-154","","C VAYREDA","31","428275.992573068","4587245.866977951","41.433579132","2.141527333"
"07-156","darrera cementiri","C FONT BALIARDA","8.B","429481.690972404","4588108.349174140","41.441453914","2.155856304"
"07-157","Font Rubia","C MARSANS I ROF","14","429332.442053038","4585640.036374279","41.419209734","2.154358455"
"07-158","","CAMI CAL NOTARI","44-45","429002.041322475","4588252.413050971","41.442709162","2.150098303"
"07-159","Zona 81 / Jard. Granja de la Vella","C GRANJA VELLA","14","428644.027661777","4586521.973024522","41.427092121","2.146017366"
"07-162","Zona 82 / Jard. Granja de la Vella","C GRANJA VELLA","3-5","428938.818129955","4586523.490783239","41.427131923","2.149544843"
"07-164","Zona 82 / Jard. Granja de la Vella","C GRANJA VELLA","3-5","428942.668118959","4586521.250750362","41.427112088","2.149591178"
"07-166","Zona 83 / Martí Godolar","C GRANJA VELLA","7-9","428816.667363583","4586447.251591293","41.426434454","2.148092083"
"07-167","Zona 82 / Martí Godolar","AV MARTI-CODOLAR","7-9","428817.767374447","4586448.461584851","41.426445449","2.148105103"
"07-168","Zona 82 / Martí Godolar Tenis","AV MARTI-CODOLAR","18-12","428817.898959295","4586657.771917727","41.428330629","2.148082034"
"07-169","Zona 82 / Martí Godolar Tenis","AV MARTI-CODOLAR","18-12","428815.898976715","4586660.481937269","41.428354860","2.148057782"
"07-170","Zona 82 / Martí Godolar Tenis","AV MARTI-CODOLAR","18-12","428813.628992354","4586663.011958580","41.428377446","2.148030319"
"07-174","Travessera de Gràcia","TVRA DE GRÀCIA","310","430447.284033059","4584357.215920412","41.407753110","2.167845298"
"07-175","Ptge Ceuta","PTGE CEUTA","2","429121.001591560","4585622.327955582","41.419031618","2.151830599"
"07-176","","C VIVER","8.B","427313.247132205","4586724.743477162","41.428799064","2.130068057"
"07-178","Padilla","C PADILLA","60","430481.227959054","4584866.176431884","41.412340073","2.168192902"
"07-179","pistes petanca","PL ALFONS EL SAVI","1","430239.967521429","4584857.708245781","41.412242898","2.165307439"
"07-180","Josep Pallach","PL JOSEP PALLACH","SN","428991.483544679","4587227.831504694","41.433480275","2.150092335"
"07-183","Jardins del Princep de Girona","TVRA DE GRÀCIA","377-389","430598.895205226","4584480.434959065","41.408876005","2.169644917"
"07-184","Jardins del Princep de Girona","JARD PRINCEP DE GIRONA","57-59","430459.585953778","4584607.106204771","41.410004848","2.167963752"
"07-187","Parc de la Vall Hebron","PL VALL D'HEBRON","10","428253.842583387","4585931.035051357","41.421735048","2.141418281"
"07-188","","C ARENYS","1-7","428258.312913447","4585973.725085533","41.422119938","2.141466707"
"07-189","Pça de les Sibil·les","PL SIBIL·LES","2","428879.852155731","4587067.242098582","41.432024038","2.148775246"
"07-190","centre plaça","PL GUINARDO","12","431076.706613152","4585886.123527288","41.421577666","2.175201006"
"07-191","Rda Guinardó","C OBLIT","68","431185.714311797","4585559.782179800","41.418647769","2.176542493"
"07-192","Rda Guinardó","C VINYALS","13","431160.144593401","4585602.212441258","41.419027733","2.176231717"
"07-193","Rbla Muntanya","RBLA MUNTANYA","31","431245.046626077","4585853.462201158","41.421297921","2.177219030"
"07-194","Cartagena","RDA GUINARDO","99-109","430775.650153434","4585094.664548323","41.414423398","2.171689230"
"07-195","Mas Casanovas","RDA GUINARDO","99-109","430849.090814087","4585166.544100935","41.415077114","2.172559687"
"07-197","Jardins de Frederic Montseny","C FELIU","30","431072.193783909","4585513.192964055","41.418218426","2.175189508"
"07-198","Pça de Meguidó","JARD MANUEL J. ARNALOT","89","427849.686193758","4586490.799021238","41.426740397","2.136515501"
"07-199","Jardins de Montbau","C JOAN SALES","4-2","428458.781884853","4587117.595383000","41.432440151","2.143730107"
"07-200","Jorge Manrique","C JORGE MANRIQUE","20","428954.302029951","4587035.411481366","41.431743943","2.149669970"
"07-201","Jardins de Juan Ponce","JARD JUAN PONCE","118.I","429527.411496414","4585526.574708110","41.418204954","2.156704529"
"07-202","Getsemaní","C LLEDONER","4.C","428098.135380649","4586332.476877582","41.425336737","2.139507411"
"07-203","Getsemaní / Lledoner","PL PALESTINA","4-2","428094.604778078","4586253.606778656","41.424626074","2.139474542"
"07-204","Angel Marques / Arq. Martorell","C ARQUITECTURA","10","428268.788751539","4586742.726232387","41.429046927","2.141500827"
"07-205","Jard. Pedro Muñoz Seca","JARD PEDRO MUÑOZ SECA","135-141","428511.300221275","4586887.174616658","41.430369530","2.144385878"
"07-206","Jard. Pedro Muñoz Seca","JARD PEDRO MUÑOZ SECA","7-9","428461.580057821","4586875.764976895","41.430262342","2.143792216"
"07-207","Pistes de petanca","C AGUDELLS","38-36","429652.826252578","4586129.464719255","41.423645935","2.158134995"
"07-208","Jardins de Can Braso (Pare Marina)","JARD CAN BRASO","SN","428820.861547862","4586999.032438902","41.431404478","2.148077304"
"07-209","Jardins de Can Braso","C JUAN DE MENA","5-7","428829.111182999","4586949.162296715","41.430956050","2.148181903"
"07-210","Jardins de Manuel J. Arnalot (casa groga)","C NATZARET","91","427814.856143025","4586491.239287077","41.426741234","2.136098653"
"07-212","","C LISBOA","32-30","429637.291090934","4586771.835863926","41.429430151","2.157874342"
"07-214","Parc del Guinardó","C GARRIGA I ROCA","20","430725.914182648","4585636.605782074","41.419300182","2.171032105"
"07-215","","C PORRERA","9","429740.137807087","4587637.776460800","41.437238323","2.159004457"
"07-216","Pg Maragall","AV MARE DE DEU DE MONTSERRAT","271","431181.439618047","4586261.713335346","41.424969447","2.176411468"
"07-218","Pl. Boyeros","PL BOYEROS","101","429120.964819700","4586048.908638702","41.422873652","2.151780164"
"07-219","Sigüenza","C SIGÜENZA","31-35","429361.896391872","4586207.347058166","41.424321862","2.154644618"
"07-220","","C MARIA LAVERNIA","26","430126.353422206","4585658.650360635","41.419446815","2.163855648"
"07-221","Parc Xavier Montsalvatge (Cotxeres TMB d'Horta)","CTRA HORTA A CERDANYOLA","43","429276.670059918","4588029.730608945","41.440727798","2.153411549"
"07-222","Parc Xavier Montsalvatge (Cotxeres TMB d'Horta)","CAMI CAL NOTARI","43","429257.699649974","4587979.490673547","41.440273638","2.153190371"
"07-224","Pl. Clota","C CAPCIR","1-3","429031.367709661","4586449.039960016","41.426469558","2.150661092"
"07-225","Parc del Guinardó","PARC GUINARDO","74","430403.774708543","4585771.958436814","41.420491415","2.167162039"
"07-226","Parc del Guinardó","C BUDAPEST","30","430342.952720644","4585521.648495544","41.418231696","2.166463102"
"07-227","Grècia","PARC GUINARDO","21.B","430676.464023342","4585625.656138707","41.419197298","2.170441674"
"07-228","C/ de Jericó","RDA DE DALT","266-262","428134.361691347","4585837.675811825","41.420883524","2.139999709"
"07-229","Parc dels Garrofers","C JOSEP SANGENIS","86","428992.076461482","4586292.190008610","41.425053404","2.150209332"
"07-230","Jardins Rosa de Luxemburg","JARD ROSA LUXEMBURG","46-40","429185.522725073","4587079.949792806","41.432165500","2.152431890"
"07-231","Placeta interior","C LUGO","56","429432.245319310","4586051.246273033","41.422922108","2.155504641"
"07-232","Parc de la Unitat","PARC UNITAT","113.I-115.","429568.007348445","4587612.337729823","41.436994128","2.156947271"
"07-233","Parc de la Unitat","PARC UNITAT","105.I","429618.527079854","4587566.567272710","41.436586322","2.157557247"
"07-234","Pl. de la Font del Roure","PL FONT DEL ROURE","54","427225.947072519","4586734.774157676","41.428881501","2.129022138"
"07-235","","CTRA SANT CUGAT","351-357","426976.839067806","4587049.326553614","41.431691914","2.126003086"
"07-236","Parc de les Aigües","C ABD EL-KADER","7","430200.798099289","4584941.578670431","41.412994888","2.164829141"
"07-237","Parc de les Aigües","PARC AIGÜES","95","430202.618449516","4584987.218725369","41.413406109","2.164845655"
"07-238","Parc de les Aigües","PARC AIGÜES","68-66","430206.088290611","4584965.638666426","41.413212047","2.164889658"
"07-239","Parc de les Aigües","PARC AIGÜES","68-66","430182.808289637","4584970.238850593","41.413251457","2.164610601"
"07-240","Perea","C PEREA","6-2","428283.284937254","4586235.965314165","41.424484050","2.141734414"
"07-241","Pl Maragall","PTGE BERNAT FENOLLAR","10-11","431510.346115775","4585731.909999174","41.420225801","2.180407285"
"07-242","","C TIRSO","44","429080.501691279","4585643.798298308","41.419221419","2.151343493"
"07-243","C/ Escornalbou nº45-43","C FLORS DE MAIG","15","431149.803610316","4585474.412314675","41.417875796","2.176122532"
"07-244","","C LIRICA","6-2","428430.412411413","4587192.925718677","41.433116090","2.143381672"
"07-245","Pl. Isop","PL ISOP","7","428612.024591930","4586123.002631286","41.423495924","2.145681502"
"07-246","Parc de les Rieres d'Horta","AV ESTATUT DE CATALUNYA","50-38","429264.593833888","4587210.219398556","41.433345751","2.153362936"
"07-247","Parc de les Rieres d'Horta","AV ESTATUT DE CATALUNYA","24","429313.243053584","4587097.238848487","41.432332466","2.153958374"
"07-248","Parc de les Rieres d'Horta","AV ESTATUT DE CATALUNYA","8-6","429396.572316831","4586982.918032281","41.431310157","2.154968981"
"07-249","Parc de les Rieres d'Horta","AV ESTATUT DE CATALUNYA","50-48","429485.952100479","4586936.087277514","41.430896224","2.156044093"
"07-250","Pl. Pastrana","PL PASTRANA","1-5","429481.337405573","4586316.856324148","41.425318660","2.156061097"
"07-251","Pl. Pastrana","PL PASTRANA","1-5","429472.817326010","4586308.086374976","41.425238925","2.155960166"
"07-252","Bernat Bransi","C MORATIN","28.I","429284.546716301","4586266.027740701","41.424843570","2.153712176"
"07-253","","ESC TENERIFE","76.I","430169.801395402","4585381.859585533","41.416957642","2.164407471"
"07-254","","C LLEDONER","14","428000.565280425","4586339.237631116","41.425388890","2.138339052"
"07-255","Parc del Laberint","PARC LABERINT","42","428676.807965729","4587875.794928168","41.439288307","2.146249877"
"07-256","Font d'en Fargues","C DESCANS","26-12","430249.385593792","4585920.529844163","41.421816153","2.165297562"
"07-257","","C ARENYS","66-64","428560.563834404","4586033.462879970","41.422684903","2.145076302"
"07-258","Parc del Laberint","PARC LABERINT","46","428582.198092391","4587911.845705115","41.439604590","2.145113242"
"07-259","Parc del Laberint","C GERMANS DESVALLS","21-51","428583.229096609","4588044.175907005","41.440796520","2.145109940"
"07-260","Parc del Laberint","PARC LABERINT","42","428650.527763373","4587854.455094264","41.439093774","2.145937853"
"07-261","Doctor Cadevall","C DOCTOR CADEVALL","1-3","430567.493257729","4585546.736836707","41.418477091","2.169146869"
"07-262","Torrent Maduixera","CTRA AIGÜES","350-330","427060.698854373","4585683.283740561","41.419396237","2.127171462"
"07-263","","C CAMPOAMOR","3","429667.253910511","4587138.116219976","41.432731711","2.158190292"
"07-264","","C MUHLBERG","20-16","429668.811280459","4585469.103539464","41.417699722","2.158403067"
"07-265","Àrea d'estada Tenerife 42","C TENERIFE","47","430184.771037067","4585331.429390554","41.416504736","2.164592401"
"07-266","","AV CAN MARCET","36-38","428883.934716638","4587404.552604071","41.435062408","2.148784414"
"07-267","","PL RAIMON CASELLAS","60","429749.260047917","4585289.722639051","41.416091145","2.159386466"
"07-268","","C HORTAL","72","429282.504696787","4585999.617330218","41.422443941","2.153718897"
"07-269","","C NAIM","9","427985.255776949","4586407.957857218","41.426006450","2.138147669"
"07-270","Part alta del parc de La Campa","C GRANJA VELLA","7-9","428728.447164524","4586439.012249623","41.426352424","2.147037364"
"07-271","Jocs infantils","JARD DOCTOR PLA I ARMENGOL","24-22","430665.190019261","4585099.465391421","41.414457115","2.170367091"
"07-272","Font Trobada","C CARTAGENA","403","430614.350765580","4585207.825939368","41.415428692","2.169746401"
"07-273","Dins del Parc del Cargol","C ARQUITECTURA","102","428018.199571576","4586902.338393707","41.430462064","2.138483025"
"07-274","Jardins de Can Soler","Can Soler","","427636.825574040","4586452.600580790","41.426377215","2.133972867"
"07-275","Jardins de Can Soler","Can Soler","","427682.035502427","4586433.870206785","41.426212590","2.134516111"
"07-276","","Llobregós","34","429946.029610721","4586513.253101559","41.427128185","2.161599017"
"07-277","Hermita Sant Medir","Font del Camp del Miracle de Sant Cugat","","426586.698734167","4588404.971667541","41.443865952","2.121169415"
"07-278","","Pedrell","62","430322.058002394","4586223.959779311","41.424555337","2.166132178"
"08-002","Ptge. Pi i Molist / Escultor Ordoñez","PTGE DOCTOR PI I MOLIST","10-6","430971.125087580","4587027.086148513","41.431844831","2.173807380"
"08-005","","PL SOLLER","55-67","431157.637416514","4587296.455165343","41.434286946","2.176008805"
"08-006","Pl. Sóller","PL SOLLER","46-42","431198.596964454","4587228.394746939","41.433677461","2.176506759"
"08-012","Alcudia","C FELANITX","9","430949.718054854","4587423.266941327","41.435411241","2.173505926"
"08-013","Cadí","PG PEIRA","43-45","430582.094645116","4587048.259127531","41.432001998","2.169149190"
"08-014","Rocabruna","C RIELLS","24.B","430462.506774882","4587354.010520182","41.434745435","2.167682831"
"08-015","Espinagua","C DARNIUS","9","430344.836825786","4587384.841460291","41.435012920","2.166270990"
"08-016","Parc Turó de la Peira","PARC TURÓ DE LA PEIRA","62.I","430256.854470845","4587091.831660299","41.432366262","2.165251815"
"08-017","Parc Turó de la Peira","PARC TURÓ DE LA PEIRA","62.I","430289.964904087","4587142.291489257","41.432823608","2.165642250"
"08-018","Pg. Valldaura","PG VALLDAURA","292-276","431752.512678422","4587869.391571185","41.439497949","2.183063609"
"08-020","Pta. Avis","C ESCULTOR ORDOÑEZ","170","431423.491519427","4587783.693926631","41.438698070","2.179135272"
"08-022","Pl. Àngel Pestaña","C SANTA ENGRACIA","107-111","431471.784244499","4588133.444115574","41.441852261","2.179673612"
"08-023","Argullos","C ARGULLOS","101","431734.033537055","4587986.471896712","41.440550878","2.182829203"
"08-024","Baltasar Gracian","AV RIO DE JANEIRO","110","431862.474388577","4588072.581060529","41.441337341","2.184356830"
"08-025","Baltasar Gracian","AV RIO DE JANEIRO","101","431750.503292396","4587950.821715494","41.440231190","2.183030360"
"08-027","Av. Meridiana","C FLOR DE NEU","7-5","432011.336926351","4588376.970414974","41.444091484","2.186104365"
"08-028","entre Palamos i Av. Meridiana","C VESUVI","24-32","431943.388442630","4588590.871267735","41.446012252","2.185266929"
"08-031","C/ Nou Pins","C NOU PINS","34-30","431664.035362859","4588241.692831092","41.442843603","2.181962510"
"08-033","Pablo Iglesias","PL NOU PINS","50","431719.076265374","4588349.512584918","41.443819378","2.182609143"
"08-035","","C LLERONA","10","431676.735103525","4589523.864759542","41.454392713","2.181969468"
"08-037","","C MARTORELLES","7","431714.018946894","4590022.925262099","41.458890726","2.182359370"
"08-040","","C LLERONA","95","431560.226620234","4589747.705994715","41.456398834","2.180549280"
"08-041","","C LLERONA","63","431665.896168909","4589666.555066313","41.455676945","2.181823556"
"08-042","","C BALENYA","21","431774.445765614","4589591.154125157","41.455007074","2.183131634"
"08-043","","C MARTORELLES","41","431843.058003336","4589872.114047239","41.457543400","2.183921332"
"08-044","Bellprat","AV ESCOLAPI CANCER","184","431076.683518251","4589437.769170404","41.453565975","2.174795625"
"08-045","Castellfollit","AV ESCOLAPI CANCER","133","431181.814385425","4589530.578520130","41.454410893","2.176043631"
"08-046","Sant Quirze Safaja","C SANT FELIU DE CODINES","101","431065.695703138","4589728.159711345","41.456180459","2.174630927"
"08-047","Sant Feliu de Codines","C SANT FELIU DE CODINES","48.B","430997.664781613","4589620.590057386","41.455205777","2.173828751"
"08-048","","C PRATS DE REI","50","431041.184183763","4589532.819589266","41.454419006","2.174359785"
"08-050","","C SANT FELIU DE CODINES","71","431180.916841166","4589854.589037267","41.457329046","2.175995951"
"08-051","","C SANT FELIU DE CODINES","41","431371.507823596","4589945.037735245","41.458160003","2.178267480"
"08-052","Jardins","PLTA PEDRAFORCA","110-42","431142.261160939","4590432.020238025","41.462526411","2.175467280"
"08-053","Vallcivera","PL ROJA DE LA CIUTAT MERIDIANA","11-17","431416.730645588","4590307.777962595","41.461430922","2.178767692"
"08-054","","AV ALZINAR","24","431768.471794248","4590387.065421167","41.462175022","2.182970147"
"08-057","","AV PUIG DE JORBA","14-1.B","431558.914499950","4590786.597635921","41.465755595","2.180415763"
"08-058","","PG PINEDA","12.B","431643.294185212","4590727.816904207","41.465233376","2.181432773"
"08-060","","AV PUIG DE JORBA","39-43","431606.125425609","4590898.887453922","41.466770969","2.180968332"
"08-061","","PG PINEDA","57","431792.794611423","4590753.325810950","41.465475849","2.183219973"
"08-062","","C ORISTA","61","432009.675529162","4590829.794286729","41.466182981","2.185808249"
"08-063","","PG PINEDA","177.I","431921.605919983","4590899.335063145","41.466801837","2.184745862"
"08-065","Sant Feliu de Codines","C SANT FELIU DE CODINES","174","430894.552868097","4589389.370474091","41.453114406","2.172620771"
"08-069","","C LLERONA","127","431598.905545464","4589598.075466103","41.455054469","2.181029303"
"08-072","entrada camp de futbol (Pl Salvador Puig Antich)","PL SALVADOR PUIG ANTICH","128-126","431316.380943248","4589049.016740899","41.450085187","2.177709407"
"08-073","Cantera","C CANTERA","23-25","431095.439825337","4588946.818253265","41.449145789","2.175076190"
"08-074","Pla de Fornell","C RODRIGO CARO","29","430964.389020052","4588867.439120593","41.448419593","2.173516484"
"08-075","Ojeda","C LLOBERA","15","430930.339015814","4588873.859388696","41.448474489","2.173108149"
"08-076","Pla de Fornells","C MINA DE LA CIUTAT","49-53","431081.398707822","4588802.268131139","41.447842679","2.174924603"
"08-077","Almansa","C SIMANCAS","64-60","430989.156563302","4588538.218412084","41.445456564","2.173850584"
"08-078","Almagro","VIA FAVENCIA","218-212","430927.045039233","4588349.828584146","41.443754470","2.173128645"
"08-080","Rda. Guineueta Vella","RDA GUINEUETA VELLA","74","430663.264303847","4588306.830513952","41.443344465","2.169976182"
"08-081","Pg. Valldaura","C GUINEUETA","1","430354.830688159","4587892.782192735","41.439588604","2.166332056"
"08-082","Turó de la Peira","C BERET","56","430462.094836455","4587098.100115528","41.432440516","2.167707345"
"08-084","Turó de la Peira","PARC TURÓ DE LA PEIRA","55","430169.654779753","4587150.412417143","41.432886298","2.164201470"
"08-085","Turó de la Peira","PARC TURÓ DE LA PEIRA","57","430119.904806971","4587164.152817551","41.433005725","2.163604486"
"08-086","Turó de la Peira","PARC TURÓ DE LA PEIRA","7-9","430440.385275192","4587160.490379354","41.433000560","2.167440351"
"08-087","Turó de la Peira","PARC TURÓ DE LA PEIRA","6","430366.785472698","4587201.651002227","41.433364900","2.166554782"
"08-089","Turó de la Peira","PARC TURÓ DE LA PEIRA","26","430336.705878684","4587261.431325255","41.433900709","2.166187903"
"08-090","Turó de la Peira","PARC TURÓ DE LA PEIRA","62.I","430170.065232418","4587210.112509199","41.433424029","2.164199485"
"08-091","Turó de la Peira","PARC TURÓ DE LA PEIRA","9.B","430242.285445751","4587223.561981200","41.433551439","2.165062254"
"08-092","Turó de la Peira","PARC TURÓ DE LA PEIRA","6","430451.665467974","4587183.640330843","41.433210040","2.167572686"
"08-093","Pl. Josep M Jaen","PLTA JOSEP MARIA JAEN","4","430589.836995243","4587357.029560851","41.434783642","2.169206388"
"08-094","Pl d'Olof Palme","C SANT ISCLE","53","430725.846210810","4587225.598321744","41.433611636","2.170849229"
"08-095","C/ de la Gasela","C ISARD","1-3","430697.940826587","4587840.739511547","41.439149564","2.170444715"
"08-096","","VIA FAVENCIA","94-90","430497.392454177","4588096.691436892","41.441437485","2.168014922"
"08-097","Pl Karl Marx","VIA FAVENCIA","1-3","430095.971318453","4588028.814375578","41.440791295","2.163218031"
"08-098","Joan Riera","C FONT D'EN CANYELLES","114","430991.373295508","4588106.527711202","41.441568687","2.173926433"
"08-100","Japo","C BORRAS","1-3","431272.312823863","4587986.775393647","41.440514221","2.177302733"
"08-101","Via Favència","VIA FAVENCIA","289-291","431710.318844965","4588691.603192216","41.446899713","2.182465643"
"08-103","Tissó / Meridiana","C TISSO","129","431934.115519257","4588207.120731043","41.442555167","2.185199171"
